"%Inc Armour from Tree","방어 증가%(트리)"
"%Inc Evasion from Tree","회피 증가%(트리)"
"%Inc Mana from Tree","마나 증가%(트리)"
"/ %.2f (burn rate modifier)","/ %.2f (연소 속도 수정자)"
"/ {0} (debuff expires slower/faster)","/ {0} (디버프가 느리게/빠르게 만료)"
"/ {0} (increased/reduced enemy stun recovery)","/ {0} (적의 기절 회복 증가/감소)"
"{0} (action speed modifier)","{0} (행동 속도 수정자)"
"{0} (average damage)","{0} (평균 피해)"
"{0} (base duration)","{0} (기본 지속 시간)"
"{0} (base placement speed)","{0} (기본 설치 속도)"
"{0} (base)","{0} (기본)"
"{0} (damage per second)","{0} (초당 피해)"
"{0} (dps multiplier for this skill)","{0} (이 스킬의 dps 배율)"
"{0} (hit chance)","{0} (명중률)"
"{0} (ignite chance)","{0} (점화 확률)"
"{0} (increased/reduced placement speed)","{0} (설치 속도 증가/감소)"
"{0} (maximum life)","{0} (최대 생명력)"
"{0} (more/less throwing speed)","{0} (투척 속도 추가/감소)"
"{0} (poison duration)","{0} (중독 지속 시간)"
"{0} (source damage from crits)","{0} (치명타로 인한 피해)"
"{0} (source damage)","{0} (피해)"
"{0} + {0} (base)","{0} + {0} (기본)"
"{0} + {1} / {2} (skill alternates weapons)","{0} + {1} / {2} (스킬 대체 무기)"
"{0} base","기본 {0}"
"{0} base Chaos Resist Max","{0} 기본 카오스 저항 최대"
"{0} base Cold Resist Max","{0} 기본 냉기 저항 최대"
"{0} base Fire Resist","{0} 기본 화염 저항"
"{0} base Lightning Resist","{0} 기본 번개 저항"
"{0} Endurance Charges","{0} 인내 충전"
"{0} per {1} Dex","{1} 민첩당 {0}"
"{0} per {1} Mana","{1} 마나당 {0}"
"{0} Power Charges","{0} 권능 충전"
"{0} to {1} (total damage)","{0} to {1} (총 피해)"
"{0} to {1} x {2} (base damage from {3} multiplied by base damage multiplier)","{0} to {1} x {2} ({3}의 기본피해에 기본 피해 배율을 곱한 값)"
"{0} x {1} - {2} (damage from non-crits)","{0} x {1} - {2} (비치명타 피해)"
"{0}% as Chaos","카오스 {0}%"
"{0}% as Fire","화염 {0}%"
"{0}% as Physical","물리 {0}%"
"{0}% increased Armour And Evasion","방어 및 회피 {0}%"
"{0}% less","감소 {0}%"
"{0}% per {1} Str","{1} 힘당 {0}%"
"{0}% to Chaos","카오스 {0}%"
"{0}% to Fire","화염 {0}%"
"{0}{1}% per second)","초당 {0}{1}%)"
"+ {0} x {1} (chance from crits)","+ {0} x {1} (치명타 확률)"
"+ {0} x {1} (portion of damage from crits)","+ {0} x {1} (치명타 피해 부분)"
"= {0}% (crit chance)","= {0}% (치명타)"
"4.00s (base duration)","4.00s (기본 지속시간)"
"Active Mine Limit:","투척 가능한 지뢰 수:"
"Active Totem Limit:","소환 가능한 토템수:"
"AoE Radius","범위 반경"
"Approximate hit chance: {0}%","대략의 명중율: {0}%"
"Area of Effect modifiers:","효과 범위 수정자:"
"Armour And Evasion","방어 및 회피"
"Attack Rate","공격 속도"
"Attack/Cast Rate:","공격/주문 비율:"
"Attributes:","속성:"
"Aura Duration:","오라 지속시간:"
"Average Dmg. inc. Ignite","점화 평균 피해 증가"
"Average enemy accuracy: {0}","평균 적 정확도: {0}"
"Average Hit","평균 명중"
"Base damage:","기본 피해:"
"Base from Gear:","기본(장비):"
"Bleed Duration:","출혈 지속시간:"
"Block Chance","막기 확률"
"Block:","막기:"
"Calculation Mode:","계산 모드:"
"Cast time:","시전 시간:"
"Chance on Crit: {0}%","치명타 확률: {0}%"
"Chance to Bleed:","출혈 확률:"
"Chance to Ignite:","점화 확률:"
"Chance to not take Damage when Hit:","맞았을때 피해를 입지 않을 확률:"
"Chance to Shock:","충격 확률:"
"Chaos Res. Over Max","카오스 저항(최대)"
"Chaos Resist Max","카오스 저항 최대"
"Chaos Resistance","카오스 저항"
"Cold Hit/DoT:","냉기 적중/DoT:"
"Cold Resist","냉기저항"
"Cold Resist:","냉기저항:"
"Cold:","냉기:"
"Combined chance:","결합 확률:"
"Conversions:","전환:"
"Crit Chance","치명타 확률"
"Crit Multiplier","치명타 배율"
"Curses and Debuffs:","저주 및 디버프:"
"Damage from Crits:","치명타 피해:"
"Damage over Time:","지속 피해:"
"Decay DPS","부식 DPS"
"Decay:","값:"
"Dexterity","민첩"
"Dmg. per Ignite:","초당 점화 피해:"
"Dodge Chance:","회피 확률:"
"DoT DPS","지속 DPS"
"Duration Mod:","지속시간 모드:"
"Effective Crit Chance","유효 치명타 확률"
"Effective DPS Mod:","유효DPS 모드:"
"Elemental","원소"
"Enemy Evasion modifiers:","적 회피 수정자:"
"Enemy modifiers:","적 수정자:"
"Enemy resistance: {0}%","적 저항: {0}%"
"Energy Shield Recharge","에너지보호막 재충전"
"ES Gain per Hit:","적중당 에쉴 획득:"
"ES Leech Cap:","에쉴 흡수량:"
"ES Leech Rate:","에쉴 흡수율:"
"ES Leech/On Hit Rate","에쉴 흡수 비율"
"Evade Chance","회피 확률"
"Evasion:","회피:"
"Final","최종"
"Fire Res. Over Max","화염 저항(최대)"
"Fire Resist Max","화염 저항 최대"
"Fire Resistance","화염 저항"
"For freeze to apply, target must have no more than {0} life.","동결을 적용하려면 대상의 생명력이 {0}이하여야 합니다."
"Fork Count:","포크 수:"
"From","에서"
"Global","일반"
"Hit Chance","명중율"
"Hit damage:","명중 피해:"
"Ignite Duration:","점화 지속시간:"
"Ignite:","점화:"
"Inc. Cast Speed:","증가된 시전속도:"
"Inc. from Tree:","패시브 트리로 증가:"
"Inc. Item Rarity:","아이템 희귀도 증가:"
"Increased Regen:","재생 증가:"
"Instant Leech per second: {0}","Instant Leech per second: {0}"
"Int. Required:","필요 지능:"
"Intelligence Required","필요 지능"
"Knockback Chance:","넉백 확률:"
"Leech & Gain on Hit:","흡수 & 명중 시 획득:"
"Life Gain per Hit:","적중당 생명력 획득:"
"Life Leech Cap:","생명력 흡수량:"
"Life Leech Rate:","생명력 흡수율:"
"Life Leech/On Hit Rate","생명력 흡수 비율"
"Life Regen","생명력 재생"
"Life to Energy Shield","생명력을 에너지보혹막으로"
"Light Radius Mod:","라이트 범위 모드:"
"Lightning Res. Over Max","번개 저항(최대)"
"Lightning Resist Max","번개 저항 최대"
"Lightning Resistance","번개 저항"
"Main Hand:","주무기:"
"Mana Gain per Hit:","적중당 마나 획득:"
