"Resistance penalty:","저항 패널티:"
"Act {0}{1}%)","액트 {0}{1}%)"
"Enemy Level:","적 레벨:"
"This overrides the default enemy level used to estimate your hit and evade chances.","This overrides the default enemy level used to estimate your hit and evade chances."
"The default level is your character level, capped at 84, which is the same value","The default level is your character level, capped at 84, which is the same value"
"used in-game to calculate the stats on the character sheet.","used in-game to calculate the stats on the character sheet."
"Enemy Physical Hit Damage:","적의 물리 타격 피해:"
"This overrides the default damage amount used to estimate your physical damage reduction from armour.","This overrides the default damage amount used to estimate your physical damage reduction from armour."
"The default is 1.5 times the enemy's base damage, which is the same value","The default is 1.5 times the enemy's base damage, which is the same value"
"used in-game to calculate the estimate shown on the character sheet.","used in-game to calculate the estimate shown on the character sheet."
"Enemy Corpse Life:","Enemy Corpse Life:"
"Sets the maximum life of the target corpse for Detonate Dead and similar skills.","Sets the maximum life of the target corpse for Detonate Dead and similar skills."
"For reference, a level 70 monster has 6449 base life, and a level 80 monster has 12466.","참고로, 레벨 70의 몬스터는 6449의 기본 생명력을 가지고 레벨 80의 몬스터는 12466의 기본 생명력을 가진다"
"Are you always stationary?","항상 정지 상태"
"Are you always moving?","항상 이동 상태"
"Are you always on Full Life?","항상 생명력을 가득 유지합니까?"
"You will automatically be considered to be on Full Life if you have Chaos Innoculation,","You will automatically be considered to be on Full Life if you have Chaos Innoculation,"
"but you can use this option to force it if necessary.","필요한 경우 이 옵션을 체크하여 강제 설정할 수 있습니다."
"Are you always on Low Life?","항상 생명력이 낮나요?"
"You will automatically be considered to be on Low Life if you have at least 65% life reserved,","You will automatically be considered to be on Low Life if you have at least 65% life reserved,"
"Are you always on Full Energy Shield?","항상 에너지 보호막이 최대인가요?"
"Do you always have Energy Shield?","항상 에너지 보호막을 유지합니까?"
"Are your minions always on Full Life?","당신의 소환수는 항상 가득 찬 생명력?"
"Ignite calculation mode:","점화 계산 모드:"
"Controls how the base damage for ignite is calculated:","Controls how the base damage for ignite is calculated:"
"Average Damage: Ignite is based on the average damage dealt, factoring in crits and non-crits.","Average Damage: Ignite is based on the average damage dealt, factoring in crits and non-crits."
"Crit Damage: Ignite is based on crit damage only.","Crit Damage: Ignite is based on crit damage only."
"When In Combat","전투 중"
"Crit Damage","크리티컬 피해"
"Aspect of the Avian:","새의 위상:"
"Is Avian's Might active?","새의 힘이 활성회되었나요?"
"Is Avian's Flight active?","새의 비행이 활성회되었나요?"
"Aspect of the Cat:","고양이의 위상:"
"Is Cat's Stealth active?","고양이의 은신이 활성화되었나요?"
"Is Cat's Agility active?","고양이의 날렵함이 활성화되었나요?"
"Aspect of the Crab:","게의 위상:"
"# of Crab Barriers (if not maximum):","게의 방어막 수(최대가 아닌 경우):"
"Aspect of the Spider:","거미의 위상:"
"# of Spider's Web Stacks:","거미줄 최대 개수:"
"Banner Skills:","깃발 스킬"
"Is Banner Planted?","깃발이 꽂혀있나요?"
"Banner Stages:","깃발 단계"
"Bladestorm:","Bladestorm:"
"Are you in a Bloodstorm?","혈풍을 가지고 있나요?"
"Are you in a Sandstorm?","모래태풍을 가지고 있나요?"
"Brand Skills:","낙인 스킬:"
"Is Attached to the Enemy?","Is Attached to the Enemy?"
"Dark Pact:","Dark Pact:"
"Skeleton Life:","해골 생명력:"
"Sets the maximum life of the skeleton that is being targeted.","Sets the maximum life of the skeleton that is being targeted."
"Deathmark:","Deathmark:"
"Is the enemy Deathmarked?","적에게 죽음의 표식이 있나요?"
"Feeding Frenzy:","Feeding Frenzy:"
"Is Feeding Frenzy active?","격분 주입이 활성화되어 있나요?"
"Feeding Frenzy grants:","Feeding Frenzy grants:"
"10% more Minion Damage","소환수 피해 10% 증가"
"15% increased Minion Movement Speed","소환수 이동 속도 15% 증가"
"15% increased Minion Attack and Cast Speed","소환수의 공격 및 시전 속도 15% 증가"
"Herald of Agony:","고통의 전령:"
"# of Virulence Stacks:","병독성 중첩 개수:"
"Ice Nova:","Ice Nova:"
