"Small Hybrid Flask","소형 하이브리드 플라스크"
"Medium Hybrid Flask","중형 하이브리드 플라스크"
"Large Hybrid Flask","대형 하이브리드 플라스크"
"Colossal Hybrid Flask","초대형 하이브리드 플라스크"
"Sacred Hybrid Flask","성스러운 하이브리드 플라스크"
"Hallowed Hybrid Flask","거룩한 하이브리드 플라스크"
"Small Life Flask","소형 생명력 플라스크"
"Sanctified Life Flask","축성된 생명력 플라스크"
"Divine Life Flask","신성한 생명력 플라스크"
"Eternal Life Flask","영원의 생명력 플라스크"
"Medium Life Flask","중형 생명력 플라스크"
"Large Life Flask","대형 생명력 플라스크"
"Greater Life Flask","대용량 생명력 플라스크"
"Grand Life Flask","거대 생명력 플라스크"
"Giant Life Flask","초거대 생명력 플라스크"
"Colossal Life Flask","초대형 생명력 플라스크"
"Sacred Life Flask","성스러운 생명력 플라스크"
"Hallowed Life Flask","거룩한 생명력 플라스크"
"Small Mana Flask","소형 마나 플라스크"
"Sanctified Mana Flask","축성된 마나 플라스크"
"Divine Mana Flask","신성한 마나 플라스크"
"Eternal Mana Flask","영원의 마나 플라스크"
"Medium Mana Flask","중형 마나 플라스크"
"Large Mana Flask","대형 마나 플라스크"
"Greater Mana Flask","대용량 마나 플라스크"
"Grand Mana Flask","거대 마나 플라스크"
"Giant Mana Flask","초거대 마나 플라스크"
"Colossal Mana Flask","초대형 마나 플라스크"
"Sacred Mana Flask","성스러운 마나 플라스크"
"Hallowed Mana Flask","거룩한 마나 플라스크"
"Diamond Flask","다이아몬드 플라스크"
"Basalt Flask","현무암 플라스크"
"Aquamarine Flask","아쿠아마린 플라스크"
"Stibnite Flask","휘안석 플라스크"
"Sulphur Flask","유황 플라스크"
"Silver Flask","은 플라스크"
"Bismuth Flask","비스무트 플라스크"
"Gold Flask","황금 플라스크"
"Corundum Flask","강옥 플라스크"
"Iron Flask","철 플라스크"
"Ruby Flask","루비 플라스크"
"Sapphire Flask","사파이어 플라스크"
"Topaz Flask","토파즈 플라스크"
"Granite Flask","화강암 플라스크"
"Quicksilver Flask","수은 플라스크"
"Amethyst Flask","자수정 플라스크"
"Quartz Flask","석영 플라스크"
"Jade Flask","비취 플라스크"
