"# of Rampage Kills:","광란의 적 처치 횟수:"
"Ailment calculation mode:","질병 계산 방법:"
"Are you Blinded?","실명 되었나?"
"Armour calculation mode:","방어구 계산 방식:"
"Awakening Level:","각성 레벨:"
"EHP calculation mode:","손상 유형 계산 방식:"
"Enemy Hit Damage:","적 명중 피해:"
"Less Recovery Rate of Life and Energy Shield:","생명력,에너지보호막 회복속도 감소:"
"Life regen calculation mode:","생명력 재생 계산 방식:"
"Melee distance to enemy:","적과의 거리:"
"You will automatically be considered to be on Full Life if you have Chaos Inoculation,","카오스 면역이 있으면 자동으로 최대 생명력으로 간주되나,"
"as it cannot be imported.","밴딧 설정을 확인하세요."
"Offence/Defence","공격/방어"
"Power per point:","포인트 당 파워:"
"Power Report","파워 리포트"
"Show top node:","탑 노드 표시:"
"Tip: After you finish importing a character, make sure you update the bandit choice,","팁: 캐릭터를 가져온 뒤에 밴딧 정보를 가져올 수 없으므로"
"Tip: Hold Ctrl to hide this tooltip.","팁 :이 툴팁을 숨기려면 Ctrl 키를 누르세요."
"Unnamed build","이름없는 빌드"
"Maelstr?m Staff","마엘스트롬 지팡이"
"Mj?lner","묠니르(Mjolner)"
"{0}% increased Damage with Hits for each Level higher the Enemy is than you","자신보다 레벨이 높은 적 하나당 타격 피해 {0}% 증가"
"{0}% increased Fortify duration","방어 상승 지속시간 {0}% 증가"
"{0}% increased Stun Duration on Enemies","적 기절 지속시간 {0}% 증가"
"{0}% reduced Damage with Hits and Ailments per Freeze, Shock and Ignite on Enemy","동결, 감전 및 점화된 적 하나당 타격 및 상태 이상 피해 {0}% 감소"
"{0}% reduced Heavy Strike Speed","묵직한 타격 속도 {0}% 감소"
"1 additional Lightning Trap Projectile","1개의 추가 번개 덫 투사체"
"1 additional maximum Blade Flurry stages","최대 질풍의 칼날 단계 1단계 추가"
"1 Volley","칼날 1개 추가"
"and nearby Allies Regenerate 200 Life per second","및 근접한 동료들이 초당 생명력 200 재생"
"Area contains a Rare Monster carrying a Tier 2 Talisman","지역에 2등급 부적을 보유한 희귀 몬스터 등장"
"Area contains a Unique Monster carrying a Tier 3 Talisman","지역에 3등급 부적을 보유한 고유 몬스터 등장"
"Area contains at least 1 Warband Pack","지역에 최소 1개 집단의 군벌 무리 등장"
"Area contains up to 1 Monster imprisoned by Essences","지역에 에센스에 갇힌 몬스터 최대 1마리 등장"
"Area contains up to 1 Shrine","지역에 최대 1개의 성소 존재"
"Arrows Pierce 1 additional Target","화살이 표적 1개를 추가 관통"
"Arrows Pierce 1 Target","화살이 표적 1개를 관통"
"Auras from your Skills grant 0.2% of Life Regenerated per second to","자신의 오라 스킬이 자신 및 동료들에게"
"Bow Attacks fire an additional Arrow while Main Hand Accuracy Rating is at least 3000","주 무기 정확도가 3,000 이상일 때 활 공격으로 화살 추가 발사"
"Can expand from 1 Frostbolt Projectile","1개의 서리 구체 투사체를 통해 확장 가능"
"Can explode from 1 Frostbolt Projectile","1개의 서리 구체 투사체를 통해 폭발 가능"
"Can inflict up to 1 Spider's Web on an Enemy","적에게 최대 1개의 거미줄 적용 가능"
"Cannot be Stunned if you have at least 10 Crab Barriers","게의 방어막을 10개 이상 보유한 경우 기절하지 않음"
"Consumes 1 Endurance Charge on use","사용 시 인내 충전 1개 소모"
"Consumes 1 Frenzy Charge on use","사용 시 격분 충전 1개 소모"
"Consumes 1 Power Charge on use","사용 시 권능 충전 1개 소모"
"Create Consecrated Ground when Hit, lasting 8 seconds","피격 시 8초간 지속되는 신성화 지대 생성"
"Create Consecrated Ground, lasting 6 seconds, when you Hit a Magic, Rare or Unique Enemy, up to once every 3 seconds","마법, 희귀 또는 고유 적 명중 시 3초마다 6초 동안 지속되는 신성화 지대 생성"
"Curse Enemies with Level 10 Vulnerability on Hit","명중 시 적이 10레벨 취약성 저주에 걸림"
"Effects of Consecrated Ground you create Linger for 1 second","플레이어가 생성하는 신성화 지대의 효과가 1초 더 유지됨"
"Every 10 seconds for 4 seconds, Curses have no effect on you","10초마다 4초 동안 저주에 걸리지 않음"
"Every 16 seconds you gain Elemental Overload for 8 seconds","16초마다 8초 동안 원소 과부하 획득"
"Every 16 seconds you gain Iron Reflexes for 8 seconds","16초마다 8초 동안 철의 반사신경 획득"
"Every 5 seconds, remove Curses and Elemental Ailments from you","5초마다 본인에게 걸린 저주 및 원소 상태 이상 제거"
"Every 8 seconds, gain Avatar of Fire for 4 seconds","8초마다 4초 동안 불의 화신 획득"
"Fire Trap throws up to 1 additional Trap","화염 덫이 최대 1개의 덫 추가 투척"
"Fires an additional Projectile for every 2 prior Mines in Detonation Sequence","연쇄 폭발 시 먼저 폭발한 지뢰 2개당 추가 투사체 1개 발사"
"Fires an additional Projectile for every 4 prior Mines in Detonation Sequence","연쇄 폭발 시 먼저 폭발한 지뢰 4개당 추가 투사체 1개 발사"
"Flasks gain a Charge every 3 seconds","플라스크가 3초마다 충전 획득"
"For each nearby corpse, you and nearby Allies Regenerate 5 Mana","주변의 시신 하나당 자신 및 주변 동료들이"
"Freezes you inflict spread to other Enemies within a Radius of 12","플레이어가 유발한 동결이 반경 12이내의 다른 적에게 확산"
"Gain {0} Endurance Charge per {1} Power","위세 {1}당 인내 충전 {0}개 획득"
"Gain 1 Gale Force when you use a Skill","스킬 사용 시 강풍의 힘 1개 획득"
"Gain 1 Rage when you Hit a Rare or Unique Enemy","희귀 또는 고유 적 명중 시 1 격노 획득"
"Gain 1 Stage when you Impale an Enemy while carrying the Banner, up to 5 per second","깃발을 들고 있는 동안 적을 꿰뚫으면 1단계 획득, 초당 최대 5개"
"Gain 1 Stage when you Kill an Enemy while carrying the Banner","깃발을 들고 가는 동안 적 처치 시 1단계 획득"
"Gain a Frenzy Charge after Spending a total of 200 Mana","총 200마나 소모 시 격분 충전 획득"
"Gain an Endurance Charge every 4 seconds while Stationary","정지 상태에서 4초마다 인내 충전 획득"
"Gain Arcane Surge after Channelling for 1 second","1초 동안 집중 유지 후 비전 쇄도 획득"
"Gain Arcane Surge for 4 seconds when you create Consecrated Ground while affected by Zealotry","열광 상태에서 신성화 지대를 생성하면 4초 동안 비전 쇄도 획득"
"Gain Arcane Surge on Hit with Spells if you have at least 150 Devotion","헌신이 150 이상인 경우 주문 명중 시 비전 쇄도 획득"
"Gain Her Blessing for 3 seconds when you Ignite an Enemy","적 점화 시 3초 동안 여신의 축복 획득"
"Gain Maddening Presence for 10 seconds when you Kill a Rare or Unique Enemy","희귀 또는 고유 적 처치 시 10초 동안 광포한 존재 획득"
"Gain Onslaught for 10 seconds on Kill","처치 시 10초 동안 맹공 획득"
"Gain Onslaught for 3 seconds when Hit","피격 시 3초 동안 맹공 획득"
"Gain Onslaught for 4 seconds on Hit while at maximum Frenzy Charges","최대 격분 충전 상태에서 명중 시 4초 동안 맹공 획득"
"Gain Onslaught for 4 seconds on Kill","처치 시 4초 동안 맹공 획득"
"Gain Phasing for 3 seconds when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 3초 동안 차원 능력 획득"
"Gain Phasing for 4 seconds on Kill","처치 시 4초 동안 차원 능력 획득"
"Gain Shaper's Presence for 10 seconds when you kill a Rare or Unique Enemy","희귀 또는 고유 적 처치 시 10초 동안 쉐이퍼의 존재 획득"
"Gain Unholy Might for 10 seconds on Kill","처치 시 10초 동안 불경한 힘 획득"
"Gain Unholy Might for 2 seconds on Critical Strike","치명타 시 2초 동안 불경한 힘 획득"
"Gain Unholy Might for 2 seconds on Melee Critical Strike","근접 치명타 시 2초 동안 불경한 힘 획득"
"Gain Unholy Might for 3 seconds on Kill","처치 시 3초 동안 불경한 힘 획득"
"Gain Unholy Might for 4 seconds on Critical Strike","치명타 시 4초 동안 불경한 힘 획득"
"Gain Unholy Might on block for 3 seconds","막아낼 시 3초 동안 불경한 힘 획득"
"Grants Level 20 Summon Bestial Rhoa Skill","20레벨 흉포한 로아 소환 스킬 적용"
"Grants Level 20 Summon Bestial Snake Skill","20레벨 흉포한 뱀 소환 스킬 적용"
"Grants Level 20 Summon Bestial Ursa Skill","20레벨 흉포한 곰 소환 스킬 적용"
"Grants Malachai's Endurance, Frenzy and Power for 6 seconds each, in sequence","6초 동안 순차적으로 말라카이의 인내, 격분, 권능 적용"
"Grants maximum Energy Shield equal to 10% of your Reserved Mana to","플레이어 및 주변 동료들에게 점유 마나의 10%와 동일한"
"you and nearby Allies","에너지 보호막 최대치 적용"
"Has 1 Abyssal Socket","심연 홈 1개"
"Has 1 Socket","홈 1개"
"Has 10 blades","칼날 10개 보유"
"Has Consumed 1 Gem","젬 1개 소모"
"If you've Attacked Recently, you","최근 4초 이내 공격한 경우 자신 및"
"and nearby Allies have +10% Chance to Block Attack Damage","주변 동료들의 공격 피해 막기 확률 +10%"
"If you've Blocked in the past 10 seconds, you","지난 10초 이내에 막아낸 경우"
"If you've Cast a Spell Recently, you","최근 4초 이내 주문을 시전한 경우 자신 및"
"and nearby Allies have +10% Chance to Block Spell Damage","주변 동료들의 주문 피해 막기 확률 +10%"
"Immune to Elemental Ailments while on Consecrated Ground if you have at least 150 Devotion","헌신이 150 이상인 경우 신성화 지대에 있는 동안 원소 상태 이상에 면역"
"Inflict Cold Exposure on Hit if you have at least 150 Devotion","헌신이 150 이상인 경우 명중 시 냉기 노출 유발"
"Inflict Fire Exposure on Hit if you have at least 150 Devotion","헌신이 150 이상인 경우 명중 시 화염 노출 유발"
"Inflict Lightning Exposure on Hit if you have at least 150 Devotion","헌신이 150 이상인 경우 명중 시 번개 노출 유발"
"Inflict Withered for 2 seconds on Hit","명중 시 2초 동안 위축 유발"
"Inflicts Fire Exposure for {0} seconds when Enemies enter the wall, applying {1}% to their Fire Resistance","적이 벽에 들어가면 {0}초 동안 화염 노출 유발, 적의 화염 저항 {1}%"
"Intimidate Enemies for 4 seconds on Hit with Attacks","공격 명중 시 4초 동안 적 위협"
"Intimidate Enemies for 4 seconds on Hit with Attacks while at maximum Endurance Charges","최대 인내 충전 상태에서 공격 명중 시 4초 동안 적 위협"
"Lancing Steel's primary Projectile Pierces 1 additional Target","강철 관통의 주 투사체가 표적 1개를 추가 관통"
"Maximum 15 Spikes","가시 최대치 15"
"Maximum 1 Summoned Phantasm","최대 1마리의 환영 소환"
"Minions Intimidate Enemies for 4 seconds on Hit","소환수가 적 명중 시 4초 동안 적 위협"
"Minions throw up to 1 additional Trap","소환수가 최대 1개의 덫 추가 투척"
