"Life Regen","생명력 재생"
"{0}% less Effect of your Curses","{0}% 저주 효과 감소"
"Minion Instability","소환수 불안정"
"Culling Strike","마무리 타격 보조"
"Onslaught","맹공 보조"
"Point Blank","근접 사격 보조"
"Blood Magic","혈마법 보조"
"Iron Grip","강철 손아귀 보조"
"Iron Will","강철의 의지 보조"
"Rampage","광란"
"{0}% Chance to Block","{0}% 블록 확률"
"Passives in radius are Conquered by the Karui","반경 내 패시브 스킬은 카루이의 지배를 받음"
"Prefixes Cannot Be Changed","접두어 변경 불가"
"Suffixes Cannot Be Changed","접미어 변경 불가"
"Cannot roll Caster Modifiers","시전자 속성 부여를 붙일 수 없음"
"Cannot roll Attack Modifiers","공격 속성 부여를 붙일 수 없음"
"Can have multiple Crafted Modifiers","다중 제작 속성 부여 보유 가능"
"Cannot roll Modifiers with Required Level above {0}","{0} 초과 필수 레벨 속성 부여를 붙일 수 없음"
"Implicit Modifier magnitudes are doubled","고정 속성 부여 규모 2배 증가"
"Implicit Modifier magnitudes are tripled","고정 속성 부여 규모 3배 증가"
"{0}% increased Implicit Modifier magnitudes","고정 속성 부여 규모 {0}% 증가"
"{0}% reduced Implicit Modifier magnitudes","고정 속성 부여 규모 {0}% 감소"
"Has no Sockets","홈 없음"
"Has {0} Abyssal Sockets","심연 홈 {0}개"
"Has {0} Sockets","홈 {0}개"
"Sockets cannot be modified","홈 수정 불가"
"All Sockets Linked","모든 홈이 연결됨"
"Has one socket of each colour","각 색상의 홈이 1개씩 있음"
"Gems can be Socketed in this Item ignoring Socket Colour","젬은 홈 색상을 무시하고 이 아이템에 장착될 수 있음"
"{0}% chance to Trigger a Socketed Warcry Skill when you lose Endurance Charges","인내 충전 손실 시 {0}%의 확률로 장착된 함성 스킬 발동"
"Trigger a Socketed Warcry Skill when you lose Endurance Charges","인내 충전 손실 시 장착된 함성 스킬 발동"
"{0} to Level of Socketed Gems","장착된 젬 레벨 {0}"
"{0} to Level of Socketed Strength Gems","장착된 힘 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Dexterity Gems","장착된 민첩 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Intelligence Gems","장착된 지능 스킬 젬 레벨 {0}"
"Gems Socketed in Red Sockets have {0} to Level","붉은 홈에 장착된 젬 레벨 {0}"
"Gems Socketed in Blue Sockets gain {0}% increased Experience","파란 홈에 장착된 젬 경험치 {0}% 증가"
"{0} to Level of Socketed Fire Gems","장착된 화염 속성 젬 레벨 {0}"
"{0} to Level of Socketed Cold Gems","장착된 냉기 속성 젬 레벨 {0}"
"{0} to Level of Socketed Lightning Gems","장착된 번개 속성 젬 레벨 {0}"
"{0} to Level of Socketed Chaos Gems","장착된 카오스 속성 젬 레벨 {0}"
"{0} to Level of Socketed Spell Gems","장착된 주문 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Duration Gems","장착된 지속시간 스킬 젬 레벨 {0}"
