"Maelstrom","큰 소용돌이"
"Fulcent","풀다"
"Abyss","심연"
"Apex","꼭대기"
"Bind","묶다"
"Cage","새장"
"Chambers","변호사 사무실"
"Coffers","금고"
"Core","핵심"
"Court","법원"
"Cradle","요람"
"Crag","비장"
"Cramp","쥐"
"Crate","나무 상자"
"Crest","문장"
"Depths","깊은 곳"
"Dregs","찌꺼기"
"Edge","가장자리"
"Frontier","국경 지방"
"Haven","피난처"
"Keep","유지하다"
"Nexus","연결점"
"Oubliette","비밀 토옥"
"Panorama","파노라마"
"Pit","피트"
"Point","가리키다"
"Reaches","도달"
"Refuge","피난"
"Refuse","거절하다"
"Remains","유적"
"Remnant","남은"
"Rupture","파열"
"Sanctum","신성한 장소"
"Scum","찌끼"
"Secrets","비밀"
"Shadows","그림자"
"Shard","사금파리"
"Slag","광재"
"Solitude","고독"
"Spires","첨탑"
"Trap","덫 보조"
"Vault","둥근 천장"
"View","보다"
"Vine","덩굴"
"Waste","쓰레기"
"Ziggurat","지구라트"
"Abode","거처"
"Quarters","병사"
"Roost","휴식처"
"Sector","부문"
"Zone","존"
"Precinct","구내"
"Dwelling","주거"
"Aegis","보호"
"Anthem","축가"
"Arbiter","중재인"
"Arch","아치"
"Arrow","화살"
"Badge","배지"
"Band","밴드"
"Bane","독"
"Barb","미늘"
"Barrage","연발 사격"
"Barrier","장벽"
"Bastion","능보"
"Batter","반죽"
"Beads","염주"
"Beak","부리"
"Beam","빔"
"Bite","바이트"
"Blast","폭발"
"Blow","불다"
"Blunt","무딘"
"Bolt","볼트"
"Bond","노예"
"Braid","드리다"
"Branch","나뭇가지"
"Brand","상표"
"Breaker","파쇄기"
"Breeze","미풍"
"Brow","이마"
"Buckle","버클"
"Bulwark","성채"
"Burst","터지다"
"Butcher","푸줏간"
"Call","부르다"
"Carapace","등딱지"
"Caress","애무"
"Chant","성가"
"Charm","매력"
"Choker","높은 칼라"
"Circle","원"
"Clasp","걸쇠"
"Claw","갈고리 발톱"
"Cloak","망토"
"Clutches","움켜쥠"
"Coat","코트"
"Coil","코일"
"Collar","칼라"
"Cord","코드"
"Corona","코로나"
"Cowl","고깔 달린 겉옷"
"Crack","금이 가다"
"Crown","왕관"
"Crusher","파쇄기"
"Cry","울다"
"Curtain","커튼"
"Dart","다트"
"Dash","질주"
"Dome","둥근 천장"
"Duty","의무"
"Emblem","상징"
"Etcher","동판 화공"
"Eye","눈"
"Fang","송곳니"
"Fend","밀어 내다"
"Finger","손가락"
"Fingers","손가락"
"Fist","주먹"
"Fletch","깃"
"Flight","비행"
"Girdle","거들"
"Glance","섬광"
"Glare","섬광"
"Globe","지구"
"Gnarl","비틀다"
"Gnash","악물다"
"Goad","막대기"
"Gorget","목 보호대"
"Grasp","파악"
"Grinder","분쇄기"
"Grip","꽉 붙잡음"
"Guard","경비원"
"Guardian","보호자"
"Guide","가이드"
"Gutter","홈통"
"Gyre","선전"
"Hail","빗발"
"Halo","후광"
"Hand","손"
"Harness","마구"
"Heart","마음"
"Hide","숨다"
"Hold","잡고 있다"
"Hoof","발굽"
"Horn","뿔"
"Hunger","굶주림"
"Idol","우상"
