"- %d (- mana cost)","- %d (- 마나소비)"
"%Inc Armour from Tree","방어 증가%(트리)"
"%Inc ES from Tree","에너지보호막 증가%(트리)"
"%Inc Evasion from Tree","회피 증가%(트리)"
"%Inc Life from Tree","생명력 증가%(트리)"
"%Inc Mana from Tree","마나 증가%(트리)"
"(base life for a level {0} monster)","(레벨{0} 몬스터의 기본 생명력)"
"/ %.2f (burn rate modifier)","/ %.2f (연소 속도 수정자)"
"/ {0} (damage rate modifier)","/ {0} (피해율 수정자)"
"/ {0} (debuff expires slower/faster)","/ {0} (디버프가 느리게/빠르게 만료)"
"/ {0} (increased/reduced cooldown recovery)","/ {0} (재사용 대기시간 증가/감소)"
"/ {0} (increased/reduced enemy stun recovery)","/ {0} (적의 기절 회복 증가/감소)"
"{0} - {1} (portion of damage from non-crits)","{0} - {1} (비치명타 피해 부분)"
"{0} (action speed modifier)","{0} (행동 속도 수정자)"
"{0} (ailment effect modifier)","{0} (상태 이상 효과 수정자)"
"{0} (average damage)","{0} (평균 피해)"
"{0} (average hit)","{0} (평균 명중)"
"{0} (base duration)","{0} (기본 지속 시간)"
"{0} (base mana cost)","{0} (기본 마나 소비)"
"{0} (base placement speed)","{0} (기본 설치 속도)"
"{0} (base throwing speed)","{0} (기본 투척 속도)"
"{0} (base)","{0} (기본)"
"{0} (burn rate modifier)","{0} (연소 속도 수정자)"
"{0} (damage per second)","{0} (초당 피해)"
"{0} (damage rate modifier)","{0} (피해율 수정자)"
"{0} (dps multiplier for this skill)","{0} (이 스킬의 dps 배율)"
"{0} (effective DPS modifier)","{0} (유효한 DPS 수정자)"
"{0} (hit chance)","{0} (명중률)"
"{0} (hits per second)","{0} (초당 명중)"
"{0} (ignite chance)","{0} (점화 확률)"
"{0} (ignite duration)","{0} (점화 지속 시간)"
"{0} (increased/reduced placement speed)","{0} (설치 속도 증가/감소)"
"{0} (increased/reduced throwing speed)","{0} (투척 속도 증가/감소)"
"{0} (maximum life)","{0} (최대 생명력)"
